,index,font_name,char,char_id,style,style_id,x_min,x_max,y_min,y_max,contour_max,order_max,split
20,20,Gafata-Regular.ttf,U,20,SANS_SERIF,0,87,526,-10,648,1,23,train
21,21,Gafata-Regular.ttf,V,21,SANS_SERIF,0,35,543,0,648,1,8,train
22,22,Gafata-Regular.ttf,W,22,SANS_SERIF,0,65,735,0,648,1,16,train
23,23,Gafata-Regular.ttf,X,23,SANS_SERIF,0,22,550,0,648,1,13,train
24,24,Gafata-Regular.ttf,Y,24,SANS_SERIF,0,30,508,0,648,1,10,train
25,25,Gafata-Regular.ttf,Z,25,SANS_SERIF,0,47,476,0,648,1,11,train
26,26,Monda-Regular.ttf,A,0,SANS_SERIF,0,86,1342,0,1446,2,9,train
27,27,Monda-Regular.ttf,B,1,SANS_SERIF,0,218,1292,0,1446,3,17,train
28,28,Monda-Regular.ttf,C,2,SANS_SERIF,0,182,1300,-22,1468,1,44,train
29,29,Monda-Regular.ttf,D,3,SANS_SERIF,0,218,1340,0,1446,2,13,train
30,30,Monda-Regular.ttf,E,4,SANS_SERIF,0,218,1133,0,1446,1,13,train
31,31,Monda-Regular.ttf,F,5,SANS_SERIF,0,218,1039,0,1446,1,11,train
32,32,Monda-Regular.ttf,G,6,SANS_SERIF,0,186,1360,-22,1468,1,47,train
33,33,Monda-Regular.ttf,H,7,SANS_SERIF,0,212,1316,0,1446,1,13,train
34,34,Monda-Regular.ttf,I,8,SANS_SERIF,0,190,942,0,1446,1,13,train
35,35,Monda-Regular.ttf,J,9,SANS_SERIF,0,102,988,-17,1446,1,21,train
36,36,Monda-Regular.ttf,K,10,SANS_SERIF,0,218,1350,0,1446,1,13,train
37,37,Monda-Regular.ttf,L,11,SANS_SERIF,0,218,1068,0,1446,1,7,train
38,38,Monda-Regular.ttf,M,12,SANS_SERIF,0,218,1560,0,1446,1,14,train
39,39,Monda-Regular.ttf,N,13,SANS_SERIF,0,218,1376,0,1446,1,11,train
40,40,Monda-Regular.ttf,O,14,SANS_SERIF,0,186,1360,-22,1468,2,23,train
41,41,Monda-Regular.ttf,P,15,SANS_SERIF,0,218,1198,0,1446,2,13,train
42,42,Monda-Regular.ttf,Q,16,SANS_SERIF,0,186,1360,-384,1468,2,24,train
43,43,Monda-Regular.ttf,R,17,SANS_SERIF,0,218,1370,0,1446,2,16,train
44,44,Monda-Regular.ttf,S,18,SANS_SERIF,0,144,1164,-22,1468,1,43,train
45,45,Monda-Regular.ttf,T,19,SANS_SERIF,0,84,1120,0,1446,1,9,train
46,46,Monda-Regular.ttf,U,20,SANS_SERIF,0,200,1338,-22,1446,1,25,train
47,47,Monda-Regular.ttf,V,21,SANS_SERIF,0,86,1300,0,1446,1,8,train
48,48,Monda-Regular.ttf,W,22,SANS_SERIF,0,112,1936,0,1446,1,14,train
49,49,Monda-Regular.ttf,X,23,SANS_SERIF,0,94,1242,0,1446,1,13,train
50,50,Monda-Regular.ttf,Y,24,SANS_SERIF,0,48,1270,0,1446,1,10,train
51,51,Monda-Regular.ttf,Z,25,SANS_SERIF,0,180,1096,0,1446,1,11,train
52,52,Monda-Bold.ttf,A,0,SANS_SERIF,0,70,1442,0,1476,2,9,train
53,53,Monda-Bold.ttf,B,1,SANS_SERIF,0,190,1344,0,1476,3,18,train
54,54,Monda-Bold.ttf,C,2,SANS_SERIF,0,160,1362,-26,1501,1,44,train
55,55,Monda-Bold.ttf,D,3,SANS_SERIF,0,190,1374,0,1476,2,13,train
56,56,Monda-Bold.ttf,E,4,SANS_SERIF,0,190,1168,0,1476,1,13,train
57,57,Monda-Bold.ttf,F,5,SANS_SERIF,0,190,1083,0,1476,1,11,train
58,58,Monda-Bold.ttf,G,6,SANS_SERIF,0,160,1419,-26,1501,1,47,train
59,59,Monda-Bold.ttf,H,7,SANS_SERIF,0,190,1434,0,1476,1,13,train
60,60,Monda-Bold.ttf,I,8,SANS_SERIF,0,158,990,0,1476,1,13,train
61,61,Monda-Bold.ttf,J,9,SANS_SERIF,0,70,1036,-25,1476,1,19,train
62,62,Monda-Bold.ttf,K,10,SANS_SERIF,0,190,1426,0,1476,1,13,train
63,63,Monda-Bold.ttf,L,11,SANS_SERIF,0,190,1104,0,1476,1,7,train
64,64,Monda-Bold.ttf,M,12,SANS_SERIF,0,190,1684,0,1476,1,14,train
65,65,Monda-Bold.ttf,N,13,SANS_SERIF,0,190,1444,0,1476,1,11,train
66,66,Monda-Bold.ttf,O,14,SANS_SERIF,0,160,1446,-26,1501,2,23,train
67,67,Monda-Bold.ttf,P,15,SANS_SERIF,0,190,1250,0,1476,2,13,train
68,68,Monda-Bold.ttf,Q,16,SANS_SERIF,0,160,1446,-534,1501,2,24,train
69,69,Monda-Bold.ttf,R,17,SANS_SERIF,0,190,1388,0,1476,2,17,train
70,70,Monda-Bold.ttf,S,18,SANS_SERIF,0,120,1169,-26,1501,1,46,train
71,71,Monda-Bold.ttf,T,19,SANS_SERIF,0,38,1156,0,1476,1,9,train
72,72,Monda-Bold.ttf,U,20,SANS_SERIF,0,176,1398,-26,1477,1,23,train
73,73,Monda-Bold.ttf,V,21,SANS_SERIF,0,40,1444,0,1476,1,8,train
74,74,Monda-Bold.ttf,W,22,SANS_SERIF,0,40,1914,0,1476,1,14,train
75,75,Monda-Bold.ttf,X,23,SANS_SERIF,0,30,1314,0,1476,1,13,train
76,76,Monda-Bold.ttf,Y,24,SANS_SERIF,0,0,1304,0,1476,1,10,train
77,77,Monda-Bold.ttf,Z,25,SANS_SERIF,0,126,1102,0,1476,1,11,train
78,78,Prompt-Italic.ttf,A,0,SANS_SERIF,0,-5,651,0,699,2,9,train
79,79,Prompt-Italic.ttf,B,1,SANS_SERIF,0,15,645,0,699,3,20,train
80,80,Prompt-Italic.ttf,C,2,SANS_SERIF,0,60,742,-15,714,1,30,train
81,81,Prompt-Italic.ttf,D,3,SANS_SERIF,0,15,691,0,699,2,12,train
82,82,Prompt-Italic.ttf,E,4,SANS_SERIF,0,15,624,0,699,1,13,train
83,83,Prompt-Italic.ttf,F,5,SANS_SERIF,0,15,624,0,699,1,11,train
84,84,Prompt-Italic.ttf,G,6,SANS_SERIF,0,59,742,-15,714,1,37,train
85,85,Prompt-Italic.ttf,H,7,SANS_SERIF,0,15,732,0,699,1,13,train
86,86,Prompt-Italic.ttf,I,8,SANS_SERIF,0,15,266,0,699,1,5,train
87,87,Prompt-Italic.ttf,J,9,SANS_SERIF,0,-25,411,-15,699,1,17,train
88,88,Prompt-Italic.ttf,K,10,SANS_SERIF,0,15,713,0,699,2,7,train
89,89,Prompt-Italic.ttf,L,11,SANS_SERIF,0,15,489,0,699,1,7,train
90,90,Prompt-Italic.ttf,M,12,SANS_SERIF,0,15,865,0,699,1,14,train
91,91,Prompt-Italic.ttf,N,13,SANS_SERIF,0,15,719,0,699,1,11,train
92,92,Prompt-Italic.ttf,O,14,SANS_SERIF,0,60,814,-15,714,2,21,train
93,93,Prompt-Italic.ttf,P,15,SANS_SERIF,0,15,635,0,699,2,14,train
94,94,Prompt-Italic.ttf,Q,16,SANS_SERIF,0,60,815,0,714,2,23,train
95,95,Prompt-Italic.ttf,R,17,SANS_SERIF,0,15,637,0,699,2,17,train
96,96,Prompt-Italic.ttf,S,18,SANS_SERIF,0,0,575,-15,714,1,45,train
97,97,Prompt-Italic.ttf,T,19,SANS_SERIF,0,105,660,0,699,1,9,train
98,98,Prompt-Italic.ttf,U,20,SANS_SERIF,0,57,735,-15,699,1,22,train
99,99,Prompt-Italic.ttf,V,21,SANS_SERIF,0,143,799,0,699,1,8,train
100,100,Prompt-Italic.ttf,W,22,SANS_SERIF,0,143,1054,0,699,1,14,train
101,101,Prompt-Italic.ttf,X,23,SANS_SERIF,0,-4,775,0,699,1,13,train
102,102,Prompt-Italic.ttf,Y,24,SANS_SERIF,0,143,753,0,699,1,10,train
103,103,Prompt-Italic.ttf,Z,25,SANS_SERIF,0,-5,654,0,699,1,11,train
104,104,Prompt-ExtraLight.ttf,A,0,SANS_SERIF,0,55,660,0,699,2,9,train
105,105,Prompt-ExtraLight.ttf,B,1,SANS_SERIF,0,75,578,0,699,3,16,train
106,106,Prompt-ExtraLight.ttf,C,2,SANS_SERIF,0,55,667,-15,714,1,28,train
107,107,Prompt-ExtraLight.ttf,D,3,SANS_SERIF,0,75,643,0,699,2,11,train
108,108,Prompt-ExtraLight.ttf,E,4,SANS_SERIF,0,75,513,0,699,1,13,train
109,109,Prompt-ExtraLight.ttf,F,5,SANS_SERIF,0,75,513,0,699,1,11,train
110,110,Prompt-ExtraLight.ttf,G,6,SANS_SERIF,0,55,669,-15,714,1,32,train
111,111,Prompt-ExtraLight.ttf,H,7,SANS_SERIF,0,75,606,0,699,1,13,train
112,112,Prompt-ExtraLight.ttf,I,8,SANS_SERIF,0,75,128,0,699,1,5,train
113,113,Prompt-ExtraLight.ttf,J,9,SANS_SERIF,0,35,287,-15,699,1,16,train
114,114,Prompt-ExtraLight.ttf,K,10,SANS_SERIF,0,75,559,0,699,1,12,train
115,115,Prompt-ExtraLight.ttf,L,11,SANS_SERIF,0,75,513,0,699,1,7,train
116,116,Prompt-ExtraLight.ttf,M,12,SANS_SERIF,0,75,748,0,699,1,14,train
117,117,Prompt-ExtraLight.ttf,N,13,SANS_SERIF,0,75,595,0,699,1,11,train
118,118,Prompt-ExtraLight.ttf,O,14,SANS_SERIF,0,55,782,-15,714,2,17,train
119,119,Prompt-ExtraLight.ttf,P,15,SANS_SERIF,0,75,546,0,699,2,11,train
120,120,Prompt-ExtraLight.ttf,Q,16,SANS_SERIF,0,55,788,0,714,2,19,train
121,121,Prompt-ExtraLight.ttf,R,17,SANS_SERIF,0,75,546,0,699,2,14,train
122,122,Prompt-ExtraLight.ttf,S,18,SANS_SERIF,0,55,494,-15,714,1,41,train
123,123,Prompt-ExtraLight.ttf,T,19,SANS_SERIF,0,35,550,0,699,1,9,train
124,124,Prompt-ExtraLight.ttf,U,20,SANS_SERIF,0,70,609,-15,699,1,19,train
125,125,Prompt-ExtraLight.ttf,V,21,SANS_SERIF,0,55,660,0,699,1,8,train
126,126,Prompt-ExtraLight.ttf,W,22,SANS_SERIF,0,55,956,0,699,1,14,train
127,127,Prompt-ExtraLight.ttf,X,23,SANS_SERIF,0,56,651,0,699,1,13,train
128,128,Prompt-ExtraLight.ttf,Y,24,SANS_SERIF,0,55,617,0,699,1,10,train
129,129,Prompt-ExtraLight.ttf,Z,25,SANS_SERIF,0,55,561,0,699,1,11,train
130,130,Prompt-ExtraLightItalic.ttf,A,0,SANS_SERIF,0,5,610,0,699,2,9,train
131,131,Prompt-ExtraLightItalic.ttf,B,1,SANS_SERIF,0,25,618,0,699,3,20,train
132,132,Prompt-ExtraLightItalic.ttf,C,2,SANS_SERIF,0,69,742,-15,714,1,31,train
133,133,Prompt-ExtraLightItalic.ttf,D,3,SANS_SERIF,0,25,678,0,699,2,12,train
134,134,Prompt-ExtraLightItalic.ttf,E,4,SANS_SERIF,0,25,611,0,699,1,13,train
135,135,Prompt-ExtraLightItalic.ttf,F,5,SANS_SERIF,0,25,611,0,699,1,11,train
136,136,Prompt-ExtraLightItalic.ttf,G,6,SANS_SERIF,0,69,742,-15,714,1,35,train
137,137,Prompt-ExtraLightItalic.ttf,H,7,SANS_SERIF,0,25,704,0,699,1,13,train
138,138,Prompt-ExtraLightItalic.ttf,I,8,SANS_SERIF,0,25,226,0,699,1,5,train
139,139,Prompt-ExtraLightItalic.ttf,J,9,SANS_SERIF,0,-16,385,-15,699,1,16,train
140,140,Prompt-ExtraLightItalic.ttf,K,10,SANS_SERIF,0,25,635,0,699,1,12,train
141,141,Prompt-ExtraLightItalic.ttf,L,11,SANS_SERIF,0,25,472,0,699,1,7,train
142,142,Prompt-ExtraLightItalic.ttf,M,12,SANS_SERIF,0,25,846,0,699,1,14,train
143,143,Prompt-ExtraLightItalic.ttf,N,13,SANS_SERIF,0,25,693,0,699,1,11,train
144,144,Prompt-ExtraLightItalic.ttf,O,14,SANS_SERIF,0,69,815,-15,714,2,21,train
145,145,Prompt-ExtraLightItalic.ttf,P,15,SANS_SERIF,0,25,610,0,699,2,14,train
146,146,Prompt-ExtraLightItalic.ttf,Q,16,SANS_SERIF,0,70,814,0,714,2,23,train
147,147,Prompt-ExtraLightItalic.ttf,R,17,SANS_SERIF,0,25,609,0,699,2,17,train
148,148,Prompt-ExtraLightItalic.ttf,S,18,SANS_SERIF,0,9,558,-15,714,1,45,train
149,149,Prompt-ExtraLightItalic.ttf,T,19,SANS_SERIF,0,124,648,0,699,1,9,train
150,150,Prompt-ExtraLightItalic.ttf,U,20,SANS_SERIF,0,62,707,-15,699,1,22,train
151,151,Prompt-ExtraLightItalic.ttf,V,21,SANS_SERIF,0,153,758,0,699,1,8,train
152,152,Prompt-ExtraLightItalic.ttf,W,22,SANS_SERIF,0,153,1054,0,699,1,14,train
153,153,Prompt-ExtraLightItalic.ttf,X,23,SANS_SERIF,0,6,734,0,699,1,13,train
154,154,Prompt-ExtraLightItalic.ttf,Y,24,SANS_SERIF,0,153,715,0,699,1,10,train
155,155,Prompt-ExtraLightItalic.ttf,Z,25,SANS_SERIF,0,5,646,0,699,1,11,train
156,156,Prompt-BoldItalic.ttf,A,0,SANS_SERIF,0,-25,708,0,699,2,9,train
157,157,Prompt-BoldItalic.ttf,B,1,SANS_SERIF,0,-5,679,0,699,3,20,train
158,158,Prompt-BoldItalic.ttf,C,2,SANS_SERIF,0,40,737,-15,714,1,32,train
159,159,Prompt-BoldItalic.ttf,D,3,SANS_SERIF,0,-5,708,0,699,2,13,train
160,160,Prompt-BoldItalic.ttf,E,4,SANS_SERIF,0,-5,639,0,699,1,13,train
161,161,Prompt-BoldItalic.ttf,F,5,SANS_SERIF,0,-5,639,0,699,1,11,train
162,162,Prompt-BoldItalic.ttf,G,6,SANS_SERIF,0,40,737,-15,714,1,34,train
163,163,Prompt-BoldItalic.ttf,H,7,SANS_SERIF,0,-5,771,0,699,1,13,train
164,164,Prompt-BoldItalic.ttf,I,8,SANS_SERIF,0,-5,320,0,699,1,5,train
165,165,Prompt-BoldItalic.ttf,J,9,SANS_SERIF,0,-44,446,-15,699,1,16,train
166,166,Prompt-BoldItalic.ttf,K,10,SANS_SERIF,0,-5,771,0,699,1,12,train
167,167,Prompt-BoldItalic.ttf,L,11,SANS_SERIF,0,-5,507,0,699,1,7,train
168,168,Prompt-BoldItalic.ttf,M,12,SANS_SERIF,0,-5,887,0,699,1,14,train
169,169,Prompt-BoldItalic.ttf,N,13,SANS_SERIF,0,-5,752,0,699,1,11,train
170,170,Prompt-BoldItalic.ttf,O,14,SANS_SERIF,0,40,808,-15,714,2,21,train
171,171,Prompt-BoldItalic.ttf,P,15,SANS_SERIF,0,-5,673,0,699,2,14,train
172,172,Prompt-BoldItalic.ttf,Q,16,SANS_SERIF,0,40,808,0,714,2,23,train
173,173,Prompt-BoldItalic.ttf,R,17,SANS_SERIF,0,-5,674,0,699,2,17,train
174,174,Prompt-BoldItalic.ttf,S,18,SANS_SERIF,0,-19,596,-15,714,1,44,train
175,175,Prompt-BoldItalic.ttf,T,19,SANS_SERIF,0,76,680,0,699,1,9,train
176,176,Prompt-BoldItalic.ttf,U,20,SANS_SERIF,0,43,773,-15,699,1,22,train
177,177,Prompt-BoldItalic.ttf,V,21,SANS_SERIF,0,123,856,0,699,1,8,train
178,178,Prompt-BoldItalic.ttf,W,22,SANS_SERIF,0,123,1065,0,699,1,14,train
179,179,Prompt-BoldItalic.ttf,X,23,SANS_SERIF,0,-25,832,0,699,1,13,train
180,180,Prompt-BoldItalic.ttf,Y,24,SANS_SERIF,0,123,823,0,699,1,10,train
181,181,Prompt-BoldItalic.ttf,Z,25,SANS_SERIF,0,-25,662,0,699,1,11,train
182,182,Prompt-ExtraBold.ttf,A,0,SANS_SERIF,0,20,778,0,699,2,9,train
183,183,Prompt-ExtraBold.ttf,B,1,SANS_SERIF,0,40,652,0,699,3,17,train
184,184,Prompt-ExtraBold.ttf,C,2,SANS_SERIF,0,20,656,-15,714,1,28,train
185,185,Prompt-ExtraBold.ttf,D,3,SANS_SERIF,0,40,683,0,699,2,11,train
186,186,Prompt-ExtraBold.ttf,E,4,SANS_SERIF,0,40,547,0,699,1,13,train
187,187,Prompt-ExtraBold.ttf,F,5,SANS_SERIF,0,40,547,0,699,1,11,train
188,188,Prompt-ExtraBold.ttf,G,6,SANS_SERIF,0,20,671,-15,714,1,30,train
189,189,Prompt-ExtraBold.ttf,H,7,SANS_SERIF,0,40,687,0,699,1,13,train
190,190,Prompt-ExtraBold.ttf,I,8,SANS_SERIF,0,40,247,0,699,1,5,train
191,191,Prompt-ExtraBold.ttf,J,9,SANS_SERIF,0,0,363,-15,699,1,16,train
192,192,Prompt-ExtraBold.ttf,K,10,SANS_SERIF,0,40,725,0,699,1,12,train
193,193,Prompt-ExtraBold.ttf,L,11,SANS_SERIF,0,40,529,0,699,1,7,train
194,194,Prompt-ExtraBold.ttf,M,12,SANS_SERIF,0,40,798,0,699,1,14,train
195,195,Prompt-ExtraBold.ttf,N,13,SANS_SERIF,0,40,666,0,699,1,11,train
196,196,Prompt-ExtraBold.ttf,O,14,SANS_SERIF,0,20,774,-15,714,2,17,train
197,197,Prompt-ExtraBold.ttf,P,15,SANS_SERIF,0,40,637,0,699,2,12,train
198,198,Prompt-ExtraBold.ttf,Q,16,SANS_SERIF,0,20,794,0,714,2,19,train
199,199,Prompt-ExtraBold.ttf,R,17,SANS_SERIF,0,40,637,0,699,2,15,train
200,200,Prompt-ExtraBold.ttf,S,18,SANS_SERIF,0,20,554,-15,714,1,41,train
201,201,Prompt-ExtraBold.ttf,T,19,SANS_SERIF,0,5,588,0,699,1,9,train
202,202,Prompt-ExtraBold.ttf,U,20,SANS_SERIF,0,35,689,-15,699,1,21,train
203,203,Prompt-ExtraBold.ttf,V,21,SANS_SERIF,0,20,778,0,699,1,8,train
204,204,Prompt-ExtraBold.ttf,W,22,SANS_SERIF,0,20,970,0,699,1,14,train
205,205,Prompt-ExtraBold.ttf,X,23,SANS_SERIF,0,20,762,0,699,1,13,train
206,206,Prompt-ExtraBold.ttf,Y,24,SANS_SERIF,0,20,746,0,699,1,10,train
207,207,Prompt-ExtraBold.ttf,Z,25,SANS_SERIF,0,20,591,0,699,1,11,train
208,208,Prompt-LightItalic.ttf,A,0,SANS_SERIF,0,0,631,0,699,2,9,train
209,209,Prompt-LightItalic.ttf,B,1,SANS_SERIF,0,20,631,0,699,3,19,train
210,210,Prompt-LightItalic.ttf,C,2,SANS_SERIF,0,65,742,-15,714,1,32,train
211,211,Prompt-LightItalic.ttf,D,3,SANS_SERIF,0,20,686,0,699,2,12,train
212,212,Prompt-LightItalic.ttf,E,4,SANS_SERIF,0,20,618,0,699,1,13,train
213,213,Prompt-LightItalic.ttf,F,5,SANS_SERIF,0,20,618,0,699,1,11,train
214,214,Prompt-LightItalic.ttf,G,6,SANS_SERIF,0,64,742,-15,714,1,36,train
215,215,Prompt-LightItalic.ttf,H,7,SANS_SERIF,0,20,718,0,699,1,13,train
216,216,Prompt-LightItalic.ttf,I,8,SANS_SERIF,0,21,247,0,699,1,5,train
217,217,Prompt-LightItalic.ttf,J,9,SANS_SERIF,0,-20,399,-15,699,1,17,train
218,218,Prompt-LightItalic.ttf,K,10,SANS_SERIF,0,20,702,0,699,2,7,train
219,219,Prompt-LightItalic.ttf,L,11,SANS_SERIF,0,20,484,0,699,1,7,train
220,220,Prompt-LightItalic.ttf,M,12,SANS_SERIF,0,20,856,0,699,1,14,train
221,221,Prompt-LightItalic.ttf,N,13,SANS_SERIF,0,20,706,0,699,1,11,train
222,222,Prompt-LightItalic.ttf,O,14,SANS_SERIF,0,64,815,-15,714,2,21,train
223,223,Prompt-LightItalic.ttf,P,15,SANS_SERIF,0,20,622,0,699,2,14,train
224,224,Prompt-LightItalic.ttf,Q,16,SANS_SERIF,0,65,814,0,714,2,23,train
225,225,Prompt-LightItalic.ttf,R,17,SANS_SERIF,0,20,622,0,699,2,17,train
226,226,Prompt-LightItalic.ttf,S,18,SANS_SERIF,0,4,567,-15,714,1,45,train
227,227,Prompt-LightItalic.ttf,T,19,SANS_SERIF,0,114,654,0,699,1,9,train
228,228,Prompt-LightItalic.ttf,U,20,SANS_SERIF,0,61,721,-15,699,1,23,train
229,229,Prompt-LightItalic.ttf,V,21,SANS_SERIF,0,148,779,0,699,1,8,train
230,230,Prompt-LightItalic.ttf,W,22,SANS_SERIF,0,148,1057,0,699,1,14,train
231,231,Prompt-LightItalic.ttf,X,23,SANS_SERIF,0,2,756,0,699,1,13,train
232,232,Prompt-LightItalic.ttf,Y,24,SANS_SERIF,0,148,734,0,699,1,10,train
233,233,Prompt-LightItalic.ttf,Z,25,SANS_SERIF,0,0,650,0,699,1,11,train
234,234,Prompt-Thin.ttf,A,0,SANS_SERIF,0,60,640,0,699,2,9,train
235,235,Prompt-Thin.ttf,B,1,SANS_SERIF,0,80,565,0,699,3,17,train
236,236,Prompt-Thin.ttf,C,2,SANS_SERIF,0,60,668,-15,714,1,29,train
237,237,Prompt-Thin.ttf,D,3,SANS_SERIF,0,80,636,0,699,2,11,train
238,238,Prompt-Thin.ttf,E,4,SANS_SERIF,0,80,507,0,699,1,13,train
239,239,Prompt-Thin.ttf,F,5,SANS_SERIF,0,80,507,0,699,1,11,train
240,240,Prompt-Thin.ttf,G,6,SANS_SERIF,0,60,668,-15,714,1,32,train
241,241,Prompt-Thin.ttf,H,7,SANS_SERIF,0,80,592,0,699,1,13,train
242,242,Prompt-Thin.ttf,I,8,SANS_SERIF,0,80,108,0,699,1,5,train
243,243,Prompt-Thin.ttf,J,9,SANS_SERIF,0,40,273,-15,699,1,16,train
244,244,Prompt-Thin.ttf,K,10,SANS_SERIF,0,80,529,0,699,1,12,train
245,245,Prompt-Thin.ttf,L,11,SANS_SERIF,0,80,507,0,699,1,7,train
246,246,Prompt-Thin.ttf,M,12,SANS_SERIF,0,80,739,0,699,1,14,train
247,247,Prompt-Thin.ttf,N,13,SANS_SERIF,0,80,583,0,699,1,11,train
248,248,Prompt-Thin.ttf,O,14,SANS_SERIF,0,60,782,-15,714,2,17,train
249,249,Prompt-Thin.ttf,P,15,SANS_SERIF,0,80,530,0,699,2,12,train
250,250,Prompt-Thin.ttf,Q,16,SANS_SERIF,0,60,787,0,714,2,19,train
251,251,Prompt-Thin.ttf,R,17,SANS_SERIF,0,80,531,0,699,2,15,train
252,252,Prompt-Thin.ttf,S,18,SANS_SERIF,0,60,484,-15,714,1,40,train
253,253,Prompt-Thin.ttf,T,19,SANS_SERIF,0,40,544,0,699,1,9,train
254,254,Prompt-Thin.ttf,U,20,SANS_SERIF,0,75,595,-15,699,1,19,train
255,255,Prompt-Thin.ttf,V,21,SANS_SERIF,0,60,640,0,699,1,8,train
256,256,Prompt-Thin.ttf,W,22,SANS_SERIF,0,60,953,0,699,1,14,train
257,257,Prompt-Thin.ttf,X,23,SANS_SERIF,0,60,632,0,699,1,13,train
258,258,Prompt-Thin.ttf,Y,24,SANS_SERIF,0,60,598,0,699,1,10,train
259,259,Prompt-Thin.ttf,Z,25,SANS_SERIF,0,60,555,0,699,1,11,train
260,260,Prompt-ExtraBoldItalic.ttf,A,0,SANS_SERIF,0,-30,728,0,699,2,9,train
261,261,Prompt-ExtraBoldItalic.ttf,B,1,SANS_SERIF,0,-10,692,0,699,3,20,train
262,262,Prompt-ExtraBoldItalic.ttf,C,2,SANS_SERIF,0,34,737,-15,714,1,31,train
263,263,Prompt-ExtraBoldItalic.ttf,D,3,SANS_SERIF,0,-10,716,0,699,2,13,train
264,264,Prompt-ExtraBoldItalic.ttf,E,4,SANS_SERIF,0,-10,645,0,699,1,13,train
265,265,Prompt-ExtraBoldItalic.ttf,F,5,SANS_SERIF,0,-10,645,0,699,1,11,train
266,266,Prompt-ExtraBoldItalic.ttf,G,6,SANS_SERIF,0,34,737,-15,714,1,34,train
267,267,Prompt-ExtraBoldItalic.ttf,H,7,SANS_SERIF,0,-10,785,0,699,1,13,train
268,268,Prompt-ExtraBoldItalic.ttf,I,8,SANS_SERIF,0,-10,345,0,699,1,5,train
269,269,Prompt-ExtraBoldItalic.ttf,J,9,SANS_SERIF,0,-48,461,-15,699,1,16,train
270,270,Prompt-ExtraBoldItalic.ttf,K,10,SANS_SERIF,0,-10,804,0,699,1,12,train
271,271,Prompt-ExtraBoldItalic.ttf,L,11,SANS_SERIF,0,-10,515,0,699,1,7,train
272,272,Prompt-ExtraBoldItalic.ttf,M,12,SANS_SERIF,0,-10,896,0,699,1,14,train
273,273,Prompt-ExtraBoldItalic.ttf,N,13,SANS_SERIF,0,-10,764,0,699,1,11,train
274,274,Prompt-ExtraBoldItalic.ttf,O,14,SANS_SERIF,0,35,807,-15,714,2,21,train
275,275,Prompt-ExtraBoldItalic.ttf,P,15,SANS_SERIF,0,-10,689,0,699,2,14,train
276,276,Prompt-ExtraBoldItalic.ttf,Q,16,SANS_SERIF,0,35,807,0,714,2,23,train
277,277,Prompt-ExtraBoldItalic.ttf,R,17,SANS_SERIF,0,-10,689,0,699,2,17,train
278,278,Prompt-ExtraBoldItalic.ttf,S,18,SANS_SERIF,0,-23,605,-15,714,1,42,train
279,279,Prompt-ExtraBoldItalic.ttf,T,19,SANS_SERIF,0,66,686,0,699,1,9,train
280,280,Prompt-ExtraBoldItalic.ttf,U,20,SANS_SERIF,0,40,787,-15,699,1,24,train
281,281,Prompt-ExtraBoldItalic.ttf,V,21,SANS_SERIF,0,118,876,0,699,1,8,train
282,282,Prompt-ExtraBoldItalic.ttf,W,22,SANS_SERIF,0,118,1068,0,699,1,14,train
283,283,Prompt-ExtraBoldItalic.ttf,X,23,SANS_SERIF,0,-30,858,0,699,1,13,train
